#᰼	〔雷布查語標點〕
ā	〔MW〕
ē	〔MW〕
ḵ	〔MW〕
ō	〔MW〕
ȯ	〔MW〕
ü	〔MW〕
ɪ	〔K,D,I〕
ᴜ	〔KK〕
ʊ	〔D,I〕
ɔ	〔K,D,I〕
æ	〔K,D,I〕
ɒ	〔D,I〕
ɑ	〔K,D,I〕
ə	〔K,D,M,I〕
ɚ	〔KK〕
ɛ	〔K,D,I〕
ɜ	〔D,I〕
ɝ	〔KK〕
ʌ	〔K,D,I〕
θ	〔K,D,I,希〕
ʃ	〔K,D,I〕
ð	〔K,D,I〕
ʒ	〔K,D,I〕
ŋ	〔K,D,M,I〕
ɹ	〔IPA〕
ʧ	〔K,D,I〕
ʤ	〔K,D,I〕
ː	〔D,I〕
ˈ	〔K,M,I〕
ˌ	〔K,M,I〕
´	〔KK〕
ˋ	〔K,I〕
ˏ	〔KK〕
͵	〔KK?,希〕
ˊ	〔IPA〕
ɱ	〔IPA〕
ɳ	〔IPA〕
ɲ	〔IPA〕
ɴ	〔IPA〕
ɖ	〔IPA〕
ɟ	〔IPA〕
ɡ	〔IPA〕
ɢ	〔IPA〕
ʡ	〔IPA〕
ʔ	〔IPA〕
ʂ	〔IPA〕
ʐ	〔IPA〕
ɕ	〔IPA〕
ʑ	〔IPA〕
ɸ	〔IPA〕
ꞵ	〔IPA〕
β	〔IPA,希〕
ç	〔IPA〕
ʝ	〔IPA〕
ɣ	〔IPA〕
ꭓ	〔IPA〕
χ	〔IPA,希〕
ʁ	〔IPA〕
ħ	〔IPA〕
ʕ	〔IPA〕
ɦ	〔IPA〕
ʋ	〔IPA〕
ɻ	〔IPA〕
ɰ	〔IPA〕
ⱱ	〔IPA〕
ɾ	〔IPA〕
ɽ	〔IPA〕
ʙ	〔IPA〕
ʀ	〔IPA〕
ʜ	〔IPA〕
ʢ	〔IPA〕
ɬ	〔IPA〕
ɮ	〔IPA〕
ɭ	〔IPA〕
ʎ	〔IPA〕
ʟ	〔IPA〕
ɺ	〔IPA〕
ʈ	〔IPA〕
ʘ	〔IPA〕
ǀ	〔IPA〕
ǃ	〔IPA〕
‼	〔IPA〕
ǁ	〔IPA〕
ɓ	〔IPA〕
ɗ	〔IPA〕
ᶑ	〔IPA〕
ʄ	〔IPA〕
ɠ	〔IPA〕
ʛ	〔IPA〕
ɧ	〔IPA〕
ʍ	〔IPA〕
ɫ	〔D,I〕
ɥ	〔IPA〕
ɨ	〔IPA〕
ʉ	〔IPA〕
ɯ	〔IPA〕
ø	〔IPA〕
ɘ	〔IPA〕
ɵ	〔IPA〕
ɤ	〔IPA〕
ɞ	〔IPA〕
œ	〔IPA〕
ɶ	〔IPA〕
ɐ	〔IPA〕
ä	〔M,I〕
ᶿ	〔IPA〕
ᵊ	〔IPA〕
ʰ	〔IPA〕
ʱ	〔IPA〕
ⁿ	〔IPA〕
ʷ	〔IPA〕
ˠ	〔IPA〕
ᶣ	〔IPA〕
ʲ	〔IPA〕
ˤ	〔IPA〕
ˡ	〔IPA〕
ǂ	〔IPA〕
‿	〔IPA〕
‖	〔IPA〕
|	〔英半,I〕
↗	〔IPA〕
↘	〔IPA〕
ꜛ	〔IPA〕
ꜜ	〔IPA〕
˥	〔IPA〕
˦	〔IPA〕
˧	〔IPA〕
˨	〔IPA〕
˩	〔IPA〕
˕	〔IPA〕
˔	〔IPA〕
ˑ	〔IPA〕
˞	〔IPA〕
ʼ	〔IPA〕
̠	〔IPA〕
̊	〔IPA〕
̃	〔IPA〕
͡	〔IPA〕
̥	〔IPA〕
̈	〔IPA〕
̝	〔IPA〕
̪	〔IPA〕
̬	〔IPA〕
̞	〔IPA〕
̆	〔IPA〕
̼	〔IPA〕
̩	〔IPA〕
̯	〔IPA〕
̚	〔IPA〕
̰	〔IPA〕
̤	〔IPA〕
̺	〔IPA〕
̟	〔IPA〕
̻	〔IPA〕
̽	〔IPA〕
̹	〔IPA〕
̘	〔IPA〕
̙	〔IPA〕
̜	〔IPA〕
̴	〔IPA〕
̌	〔IPA〕
̂	〔IPA〕
̋	〔IPA〕
́	〔IPA〕
̄	〔IPA〕
̀	〔IPA〕
̏	〔IPA〕
̇	〔MW〕
͟	〔MW〕
͋	〔ex-ipa〕
͊	〔ex-ipa〕
͈	〔ex-ipa〕
͉	〔ex-ipa〕
͆	〔ex-ipa〕
͎	〔ex-ipa〕
͍	〔ex-ipa〕
͌	〔ex-ipa〕
͢	〔ex-ipa〕
͕	〔ex-ipa〕
͔	〔ex-ipa〕
̑	〔ex-ipa〕
̧	〔ex-ipa〕
̫	〔on-ipa〕
̣	〔on-ipa〕
̗	〔on-ipa〕
̍	〔on-ipa〕
˭	〔ex-ipa〕
ạ	〔ex-ipa〕
ʩ	〔ex-ipa〕
ʪ	〔ex-ipa〕
ʫ	〔ex-ipa〕
ʬ	〔ex-ipa〕
ʭ	〔ex-ipa〕
¡	〔ex-ipa〕
↓	〔ex-ipa〕
↑	〔ex-ipa〕
ꟸ	〔ex-ipa〕
ꟹ	〔ex-ipa〕
ᶹ	〔ex-ipa〕
ꞎ	〔ex-ipa〕
ᶚ	〔ex-ipa〕
ʞ	〔ex-ipa〕
₍	〔ex-ipa〕
₎	〔ex-ipa〕
σ	〔ex-ipa,希〕
ᵖ	〔ex-ipa〕
ᶲ	〔ex-ipa〕
ᵐ	〔ex-ipa〕
ᵇ	〔ex-ipa〕
ᵝ	〔ex-ipa〕
⁻	〔ex-ipa〕
ᶠ	〔ex-ipa〕
ᶬ	〔ex-ipa〕
ᵛ	〔ex-ipa〕
ᶞ	〔ex-ipa〕
ᵗ	〔ex-ipa〕
ˢ	〔ex-ipa〕
ᵈ	〔ex-ipa〕
