#｀	〔全角〕
#`	〔半角〕
︑	〔陸-豎頓號〕
、	〔頓號〕
﹑	〔小型〕
､	〔半角〕
#~	〔半角〕
#～	〔全角〕
〜	〔日-波線〕
⁓	〔代字號〕
˜	〔小型顎化〕
∼	〔運算符〕
≈	〔約等於〕
﹏	〔書名號〕
﹋	〔頂浪線〕
﹌	〔雙重頂浪線〕
〰	〔浪線〕
⌇	〔豎浪線〕
#!	〔半角〕
#！	〔全角〕
﹗	〔小型〕
¡	〔倒嘆號〕
‼	〔雙嘆號〕
⁉	〔感嘆疑問號〕
‽	〔問嘆號〕
⸘	〔倒問嘆號〕
#＠	〔全角〕
#@	〔半角〕
﹫	〔小型〕
®	〔註冊商標〕
©	〔版權〕
℗	〔錄音版權〕
〄	〔JIS〕
〶	〔郵便〕
☯	〔太極〕
㉿	〔韓國標準〕
✆	〔電話位置〕
✇	〔磁帶驅動器〕
#＃	〔全角〕
##	〔半角〕
﹟	〔小型〕
⌗	〔數據方塊〕
⌘	〔command〕
#＄	〔全角〕
#$	〔半角〕
﹩	〔小型〕
#％	〔全角〕
#%	〔半角〕
﹪	〔小型〕
‰	〔千分號〕
‱	〔萬分號〕
#＾	〔全角〕
#^	〔半角〕
‸	〔脫字號〕
∧	〔邏輯與〕
∨	〔邏輯或〕
⌅	〔投影〕
⊻	〔異或〕
#＆	〔全角〕
#&	〔半角〕
﹠	〔小型〕
⁊	〔and〕
°	〔度〕
℃	〔攝氏〕
℉	〔華氏〕
Å	〔埃〕
㏃	〔貝克〕
㏆	〔庫侖公斤〕
㎈	〔卡路里〕
㏄	〔立方公分〕
㏅	〔燭光〕
㎝	〔公分〕
㎠	〔平方公分〕
㎤	〔立方公分〕
㏈	〔分貝〕
㎗	〔公合〕
㎙	〔飛米〕
㎓	〔吉赫〕
㎬	〔十億帕〕
㏉	〔格雷〕
㏊	〔公頃〕
㏋	〔馬力〕
㎐	〔赫茲〕
㏌	〔英寸〕
㎄	〔千安培〕
㎅	〔千位元組〕
㎉	〔千卡〕
㎏	〔公斤〕
㎑	〔千赫〕
㏍	〔株式會社〕
㎘	〔千升〕
㎞	〔公里〕
㏎	〔公里〕
㎢	〔平方公里〕
㎦	〔立方公里〕
㎪	〔千帕〕
㏏	〔節〕
㎸	〔千伏特〕
㎾	〔千瓦〕
㏀	〔千歐姆〕
㏐	〔流明〕
㏓	〔照度〕
㎧	〔公尺秒〕
㎨	〔公尺平方秒〕
㎡	〔平方米〕
㎥	〔立方米〕
㎃	〔毫安〕
㏔	〔毫巴〕
㎆	〔兆位元組〕
㎎	〔毫克〕
㎒	〔兆赫〕
㏕	〔英絲〕
㎖	〔兆升〕
㎜	〔毫米〕
㎟	〔平方毫米〕
㎣	〔立方毫米〕
㏖	〔莫耳〕
㎫	〔百萬帕〕
㎳	〔毫秒〕
㎷	〔毫伏〕
㎹	〔兆伏特〕
㎽	〔毫瓦〕
㎿	〔兆瓦〕
㏁	〔兆歐姆〕
㎁	〔奈安培〕
㎋	〔奈米法拉〕
㎚	〔奈米〕
㎱	〔奈秒〕
㎵	〔奈伏〕
㎻	〔奈瓦〕
㏘	〔下午〕
㎩	〔帕〕
㎀	〔皮安培〕
㎊	〔皮法拉〕
㏗	〔pH值〕
㏙	〔百萬分率〕
㏚	〔公共關係〕
㎰	〔皮秒〕
㎴	〔皮伏〕
㎺	〔皮瓦〕
㎭	〔弧度〕
㎮	〔秒弧度〕
㎯	〔平方秒弧度〕
㏛	〔球面度〕
㏜	〔西弗〕
㎔	〔兆赫茲〕
㏝	〔韋伯〕
㎂	〔微安培〕
㎌	〔微法拉〕
㎍	〔微克〕
㎕	〔微升〕
㎛	〔微米〕
㎲	〔微秒〕
㎶	〔微伏〕
㎼	〔微瓦〕
#＊	〔全角〕
#*	〔半角〕
﹡	〔小型〕
⁎	〔下星號〕
⁕	〔花飾〕
⁑	〔二星號〕
⁂	〔三星號〕
╳	〔製表符〕
※	〔參考記號〕
⁜	〔帶點十字〕
†	〔劍號〕
‡	〔雙劍號〕
#(	〔半角〕
#（	〔全角〕
﹙	〔小型〕
⁽	〔上括號〕
₍	〔下括號〕
｟	〔雙括號〕
⦅	〔空心括號〕
⦇	〔映像括號〕
⁐	〔閉合〕
︵	〔豎括號〕
#)	〔半角〕
#）	〔全角〕
﹚	〔小型〕
⁾	〔上括號〕
₎	〔下括號〕
｠	〔雙括號〕
⦆	〔空心括號〕
⦈	〔映像括號〕
︶	〔豎括號〕
#-	〔半角〕
#－	〔全角〕
﹘	〔小型〕
‐	〔連字號〕
—	〔連接號〕
–	〔英-連接號〕
⸺	〔2Em破折號〕
―	〔水平線〕
ー	〔日-長音符〕
‒	〔數字線〕
⁃	〔項目符號〕
#＿	〔全角〕
#_	〔半角〕
₋	〔下標負號〕
⁻	〔上標負號〕
ˉ	〔注音一聲〕
¯	〔長音符〕
──	〔破折夾注號〕
——	〔破折夾注號〕
#=	〔半角〕
#＝	〔全角〕
